Permit Number,Latitude,Longitude,Crop(s),AF_Acre,ReportYear
MS-GW-00233,33.56,-90.2053,Soybeans,1.37,2016
MS-GW-00283,33.56,-90.2053,Soybeans,1.177313253,2019
MS-GW-00283,33.3531,-90.2992,Cotton,0.101284615,2014
MS-GW-00291,33.3531,-90.2992,Corn,0.325369231,2015
MS-GW-00305,33.3531,-90.2992,Cotton,0.19,2016
MS-GW-00305,33.7383,-90.7903,Soybeans,0.38,2018
MS-GW-00305,33.7383,-90.7903,Corn,0.166885871,2019
MS-GW-00382,33.3683,-90.5064,Soybeans,0.6377125,2014
MS-GW-00382,33.3683,-90.5064,Soybeans,1.1465,2015
MS-GW-00382,33.3683,-90.5064,Soybeans,0.27,2017
MS-GW-00448,33.3683,-90.5064,Soybeans,0.62,2018
MS-GW-00448,33.0461,-90.9244,Soybeans,0.32496875,2019
MS-GW-00448,33.3683,-90.5064,Soybeans,0.505975,2019
MS-GW-00382,32.9575,-90.9394,Soybeans,0.32221875,2014
MS-GW-00448,32.9575,-90.9394,Soybeans,1.520818898,2015
MS-GW-00562,32.9575,-90.9394,Soybeans,0.59,2016
MS-GW-00435,32.9575,-90.9394,Corn,0.0,2017
MS-GW-00562,32.9575,-90.9394,Soybeans,1.5,2018
MS-GW-00435,32.9575,-90.9394,Cotton,0.0,2019
MS-GW-00435,32.9794,-90.3561,Soybeans,0.673202928,2014
MS-GW-00435,32.9794,-90.3561,Soybeans,1.441410015,2015
MS-GW-00447,32.9794,-90.3561,Soybeans,0.86,2016
MS-GW-00574,32.9794,-90.3561,Soybeans,3.88,2017
MS-GW-00447,32.9794,-90.3561,Corn,0.42,2018
MS-GW-00574,32.9794,-90.3561,Soybeans,0.515260776,2019
MS-GW-00447,33.9156,-90.9828,Soybeans,0.03,2017
MS-GW-00574,33.9156,-90.9828,Soybeans,0.06,2018
MS-GW-00574,33.9156,-90.9828,Soybeans,0.013762065,2019
MS-GW-00447,33.6319,-90.9442,Soybeans,0.27,2017
MS-GW-00676,34.5969,-90.4144,Soybeans,0.33,2018
MS-GW-00676,34.5969,-90.4144,Soybeans,0.062385714,2019
MS-GW-00796,34.1778,-90.4286,Cotton,1.18,2017
MS-GW-00796,33.7311,-90.125,Soybeans,0.304564157,2014
MS-GW-00796,33.7311,-90.125,Soybeans,0.432207195,2015
MS-GW-00796,33.7311,-90.125,Soybeans,2.18,2016
MS-GW-00796,33.8678,-90.9331,Soybeans,0.66,2016
MS-GW-00923,33.8678,-90.9331,Soybeans,0.4,2017
MS-GW-00923,33.8678,-90.9331,Soybeans,0.43,2018
MS-GW-00923,33.8678,-90.9331,Soybeans,0.374926694,2019
MS-GW-00977,33.3036,-90.76,Rice,0.351353333,2014
MS-GW-00977,33.6533,-90.9747,Rice,5.725777778,2015
MS-GW-00977,33.3036,-90.76,Soybeans,1.297246667,2015
MS-GW-00977,33.6533,-90.9747,Soybeans,2.66,2017
MS-GW-00978,33.6533,-90.9747,Rice,2.875745455,2019
MS-GW-00978,33.8753,-90.9375,Soybeans,0.75,2016
MS-GW-00984,33.44,-90.4128,Soybeans,0.1,2017
MS-GW-00984,33.8753,-90.9375,Corn,0.18,2017
MS-GW-00984,33.44,-90.4128,Soybeans,0.23,2018
MS-GW-01059,33.8753,-90.9375,Soybeans,0.34,2018
MS-GW-01059,33.8753,-90.9375,Corn,0.257911403,2019
MS-GW-01059,33.44,-90.4128,Soybeans,0.645341667,2019
MS-GW-01138,33.2356,-90.5417,Soybeans,0.52,2018
MS-GW-01138,33.2356,-90.5417,Corn,0.134064516,2019
MS-GW-01139,33.2878,-90.7342,Soybeans,0.88255,2014
MS-GW-01139,33.2878,-90.7342,Soybeans,2.1133,2015
MS-GW-01196,33.2878,-90.7342,Soybeans,0.42,2016
MS-GW-01197,33.2878,-90.7342,Corn,0.169271429,2019
MS-GW-01197,33.7217,-90.6661,Corn,0.88,2016
MS-GW-01408,33.7217,-90.6661,Cotton,0.69,2017
MS-GW-01408,33.7217,-90.6661,Cotton,0.4,2018
