Year,Month,AIWUM1.1,AIWUM2.1
2014,10,30779584.0,272179260.0
2014,4,83388590.0,155328100.0
2014,5,556532350.0,376804700.0
2014,6,1778989400.0,1353546100.0
2014,7,3107037200.0,1787481000.0
2014,8,2258820900.0,2437786400.0
2014,9,727302660.0,882050700.0
2015,10,26518232.0,317391170.0
2015,4,71844200.0,181847340.0
2015,5,547864600.0,391787140.0
2015,6,2007764700.0,1690624900.0
2015,7,3767563800.0,2771216600.0
2015,8,2817441300.0,2398807600.0
2015,9,970463200.0,1316994700.0
2016,10,37983692.0,765156350.0
2016,4,102906880.0,195067660.0
2016,5,794287170.0,351894300.0
2016,6,2464727600.0,2223664600.0
2016,7,4154152400.0,2709869600.0
2016,8,2906279400.0,2522195700.0
2016,9,917561400.0,1349520100.0
2017,10,27344024.0,442184320.0
2017,4,74081490.0,164539490.0
2017,5,371968670.0,333834430.0
2017,6,1321084700.0,1256269700.0
2017,7,2491019000.0,2317429500.0
2017,8,1898003600.0,1661521700.0
2017,9,670587460.0,943283700.0
2018,10,21968212.0,205015840.0
2018,4,59517156.0,216431420.0
2018,5,1390145800.0,817855800.0
2018,6,2685334500.0,2303228000.0
2018,7,3496022000.0,3443785500.0
2018,8,1839127400.0,2984947700.0
2018,9,714035260.0,1132095600.0
2019,10,25770568.0,153518220.0
2019,4,69819070.0,189812240.0
2019,5,442885280.0,476923420.0
2019,6,1467428500.0,1110820900.0
2019,7,2282872300.0,2310341400.0
2019,8,1827745700.0,2206552800.0
2019,9,544169400.0,1357520400.0
